time,description,home_score,away_score,team
5:34,Miles McBride misses 26-foot three point jumper,81,91,Unknown
5:32,Josh Hart offensive rebound,81,91,Unknown
5:28,Jalen Brunson makes 2-foot two point shot (Josh Hart assists),81,93,Unknown
5:13,Jaylen Brown makes 3-foot driving floating jump shot,83,93,Celtics
4:57,Knicks Full timeout,83,93,Unknown
4:57,Mikal Bridges enters the game for Jordan Clarkson,83,93,Unknown
4:57,Karl-Anthony Towns enters the game for OG Anunoby,83,93,Unknown
4:57,Neemias Queta enters the game for Sam Hauser,83,93,Celtics
4:57,5 second violation,83,93,Unknown
4:43,Jaylen Brown misses 26-foot three point jumper,83,93,Celtics
4:38,Josh Hart defensive rebound,83,93,Unknown
4:29,Jalen Brunson makes 5-foot driving floating jump shot,83,95,Unknown
4:12,Derrick White misses 25-foot three point pullup jump shot,83,95,Celtics
4:11,Knicks defensive team rebound,83,95,Unknown
3:47,Karl-Anthony Towns misses layup,83,95,Unknown
3:45,Neemias Queta defensive rebound,83,95,Celtics
3:42,Josh Hart shooting foul,83,95,Unknown
3:42,Jaylen Brown makes free throw 1 of 2,84,95,Celtics
3:42,Jaylen Brown misses free throw 2 of 2,84,95,Celtics
3:41,Derrick White offensive rebound,84,95,Celtics
3:40,Derrick White misses tip shot,84,95,Celtics
3:38,Josh Hart defensive rebound,84,95,Unknown
3:17,Josh Hart misses 23-foot three point jumper,84,95,Unknown
3:17,Jaylen Brown defensive rebound,84,95,Celtics
3:13,Jalen Brunson shooting foul,84,95,Unknown
3:13,Neemias Queta makes free throw 1 of 2,85,95,Celtics
3:13,Neemias Queta misses free throw 2 of 2,85,95,Celtics
3:11,Josh Hart defensive rebound,85,95,Unknown
2:50,Miles McBride makes 22-foot three point jumper (Jalen Brunson assists),85,98,Unknown
2:32,Jaylen Brown makes driving layup,87,98,Celtics
2:07,Karl-Anthony Towns makes dunk (Jalen Brunson assists),87,100,Unknown
2:00,Derrick White makes 1-foot driving dunk,89,100,Celtics
1:54,Neemias Queta personal foul,89,100,Celtics
1:54,Karl-Anthony Towns misses free throw 1 of 2,89,100,Unknown
1:54,Knicks offensive team rebound,89,100,Unknown
1:54,Sam Hauser enters the game for Hugo Gonzalez,89,100,Celtics
1:54,Karl-Anthony Towns makes free throw 2 of 2,89,101,Unknown
1:45,Jaylen Brown makes 27-foot three pointer,92,101,Celtics
1:24,Jalen Brunson makes 28-foot three pointer,92,104,Unknown
1:14,Derrick White makes 26-foot three point jumper (Payton Pritchard assists),95,104,Celtics
1:14,Miles McBride shooting foul,95,104,Unknown
1:14,Derrick White misses free throw 1 of 1,95,104,Celtics
1:11,Josh Hart defensive rebound,95,104,Unknown
51.4,Josh Hart misses 15-foot two point shot,95,104,Unknown
49.6,Jaylen Brown defensive rebound,95,104,Celtics
42.8,Jaylen Brown out of bounds bad pass turnover,95,104,Celtics
40.3,Jaylen Brown personal foul,95,104,Celtics
40.3,Jalen Brunson makes free throw 1 of 2,95,105,Unknown
40.3,Amari Williams enters the game for Derrick White,95,105,Celtics
40.3,Jordan Walsh enters the game for Jaylen Brown,95,105,Celtics
40.3,Baylor Scheierman enters the game for Neemias Queta,95,105,Celtics
40.3,Hugo Gonzalez enters the game for Sam Hauser,95,105,Celtics
40.3,Landry Shamet enters the game for Karl-Anthony Towns,95,105,Unknown
40.3,Jalen Brunson misses free throw 2 of 2,95,105,Unknown
38.5,Baylor Scheierman defensive rebound,95,105,Celtics
29.3,Payton Pritchard misses 8-foot pullup jump shot,95,105,Celtics
26.4,Amari Williams offensive rebound,95,105,Celtics
24.7,Hugo Gonzalez misses 26-foot three point jumper,95,105,Celtics
22.3,Josh Hart defensive rebound,95,105,Unknown
0.0,End of the 4th Quarter,95,105,Unknown
0.0,End of Game,95,105,Unknown
,[ QUARTER 4 ENDED ],,,
12:00,Neemias Queta vs. Karl-Anthony Towns (Payton Pritchard gains possession),0,0,Celtics
11:40,Sam Hauser makes 25-foot three point jumper (Payton Pritchard assists),3,0,Celtics
11:25,Karl-Anthony Towns offensive charge,3,0,Unknown
11:25,Karl-Anthony Towns turnover,3,0,Unknown
11:02,Neemias Queta makes 1-foot layup (Payton Pritchard assists),5,0,Celtics
11:02,Mikal Bridges shooting foul,5,0,Unknown
11:02,Neemias Queta makes free throw 1 of 1,6,0,Celtics
10:47,Karl-Anthony Towns makes 25-foot three point step back jumpshot (Miles McBride assists),6,3,Unknown
10:38,Sam Hauser lost ball turnover (Mikal Bridges steals),6,3,Celtics
10:32,Mikal Bridges makes two point shot (Miles McBride assists),6,5,Unknown
10:20,Neemias Queta offensive foul,6,5,Celtics
10:20,Neemias Queta turnover,6,5,Celtics
10:05,Jalen Brunson misses two point shot,6,5,Unknown
10:02,Karl-Anthony Towns offensive rebound,6,5,Unknown
10:01,Neemias Queta blocks Karl-Anthony Towns 's 1-foot two point shot,6,5,Unknown
9:58,Derrick White defensive rebound,6,5,Celtics
9:53,Jaylen Brown out of bounds lost ball turnover,6,5,Celtics
9:40,Derrick White kicked ball violation,6,5,Celtics
9:38,Mikal Bridges misses 27-foot three point jumper,6,5,Unknown
9:34,Jaylen Brown defensive rebound,6,5,Celtics
9:23,Karl-Anthony Towns blocks Payton Pritchard 's 2-foot driving layup,6,5,Celtics
9:21,Mikal Bridges defensive rebound,6,5,Unknown
9:13,Jalen Brunson makes 1-foot two point shot,6,7,Unknown
9:05,Jaylen Brown makes driving layup,8,7,Celtics
9:05,OG Anunoby shooting foul,8,7,Unknown
9:05,Jaylen Brown misses free throw 1 of 1,8,7,Celtics
9:03,Karl-Anthony Towns defensive rebound,8,7,Unknown
8:48,Jalen Brunson misses two point shot,8,7,Unknown
8:45,Miles McBride offensive rebound,8,7,Unknown
8:45,Miles McBride misses tip shot,8,7,Unknown
8:45,Derrick White defensive rebound,8,7,Celtics
8:35,Derrick White makes 4-foot driving floating jump shot (Neemias Queta assists),10,7,Celtics
8:23,Miles McBride misses 23-foot three point jumper,10,7,Unknown
8:21,Celtics defensive team rebound,10,7,Celtics
8:16,Mikal Bridges personal foul,10,7,Unknown
8:08,Jaylen Brown misses 26-foot three point jumper,10,7,Celtics
8:05,Karl-Anthony Towns defensive rebound,10,7,Unknown
8:02,Mikal Bridges misses 26-foot three point shot,10,7,Unknown
7:58,OG Anunoby offensive rebound,10,7,Unknown
7:49,OG Anunoby misses 27-foot three point jumper,10,7,Unknown
7:45,Miles McBride offensive rebound,10,7,Unknown
7:42,Payton Pritchard personal foul,10,7,Celtics
7:42,Landry Shamet enters the game for Mikal Bridges,10,7,Unknown
7:38,Landry Shamet misses 26-foot three point pullup jump shot,10,7,Unknown
7:36,Payton Pritchard defensive rebound,10,7,Celtics
7:26,Jaylen Brown makes 13-foot two point shot,12,7,Celtics
7:15,Jalen Brunson misses driving floating jump shot,12,7,Unknown
7:12,Payton Pritchard defensive rebound,12,7,Celtics
7:01,Jaylen Brown misses driving floating jump shot,12,7,Celtics
6:59,Neemias Queta offensive rebound,12,7,Celtics
6:55,Derrick White misses 25-foot three point jumper,12,7,Celtics
6:51,Landry Shamet defensive rebound,12,7,Unknown
6:45,Karl-Anthony Towns misses 29-foot three point jumper,12,7,Unknown
6:43,Neemias Queta defensive rebound,12,7,Celtics
6:34,Neemias Queta makes dunk (Derrick White assists),14,7,Celtics
6:11,Karl-Anthony Towns makes 26-foot three point jumper (OG Anunoby assists),14,10,Unknown
6:00,Payton Pritchard misses 25-foot three point jumper,14,10,Celtics
5:57,Landry Shamet defensive rebound,14,10,Unknown
5:45,Sam Hauser blocks Karl-Anthony Towns 's 4-foot driving layup,14,10,Unknown
5:43,Sam Hauser defensive rebound,14,10,Celtics
5:38,Jaylen Brown bad pass (Miles McBride steals),14,10,Celtics
5:32,Karl-Anthony Towns makes 27-foot three point shot (Miles McBride assists),14,13,Unknown
5:32,Derrick White shooting foul,14,13,Celtics
5:32,Knicks Full timeout,14,13,Unknown
5:32,Josh Hart enters the game for OG Anunoby,14,13,Unknown
5:32,Baylor Scheierman enters the game for Jaylen Brown,14,13,Celtics
5:32,Chris Boucher enters the game for Sam Hauser,14,13,Celtics
5:32,Xavier Tillman enters the game for Payton Pritchard,14,13,Celtics
5:32,Anfernee Simons enters the game for Neemias Queta,14,13,Celtics
5:32,Hugo Gonzalez enters the game for Derrick White,14,13,Celtics
5:32,Karl-Anthony Towns misses free throw 1 of 1,14,13,Unknown
5:28,Chris Boucher defensive rebound,14,13,Celtics
5:28,Guerschon Yabusele enters the game for Karl-Anthony Towns,14,13,Unknown
5:04,Chris Boucher misses 17-foot pullup jump shot,14,13,Celtics
5:02,Xavier Tillman offensive rebound,14,13,Celtics
5:00,Anfernee Simons misses 25-foot three point jumper,14,13,Celtics
4:56,Landry Shamet defensive rebound,14,13,Unknown
4:34,Chris Boucher blocks Guerschon Yabusele 's 23-foot three point jumper,14,13,Unknown
4:32,Knicks offensive team rebound,14,13,Unknown
4:32,shot clock turnover,14,13,Unknown
4:17,Hugo Gonzalez makes driving layup,16,13,Celtics
4:02,Miles McBride misses 25-foot three point step back jumpshot,16,13,Unknown
3:59,Hugo Gonzalez defensive rebound,16,13,Celtics
3:51,Anfernee Simons makes 17-foot step back jumpshot,18,13,Celtics
3:35,Chris Boucher blocks Josh Hart 's 1-foot driving layup,18,13,Unknown
3:32,Josh Hart offensive rebound,18,13,Unknown
3:26,Hugo Gonzalez shooting foul,18,13,Celtics
3:26,Jalen Brunson makes free throw 1 of 2,18,14,Unknown
3:26,OG Anunoby enters the game for Miles McBride,18,14,Unknown
3:26,Jalen Brunson makes free throw 2 of 2,18,15,Unknown
3:04,Chris Boucher misses 26-foot three point pullup jump shot,18,15,Celtics
3:02,Knicks defensive team rebound,18,15,Unknown
2:47,Jalen Brunson misses 27-foot three point pullup jump shot,18,15,Unknown
2:45,Chris Boucher defensive rebound,18,15,Celtics
2:38,Hugo Gonzalez misses 22-foot three point step back jumpshot,18,15,Celtics
2:36,Xavier Tillman offensive rebound,18,15,Celtics
2:34,Xavier Tillman makes 3-foot two point shot,20,15,Celtics
2:26,Josh Hart misses 26-foot three point jumper,20,15,Unknown
2:20,Xavier Tillman defensive rebound,20,15,Celtics
2:11,Chris Boucher misses 23-foot three point jumper,20,15,Celtics
2:07,OG Anunoby defensive rebound,20,15,Unknown
2:01,Landry Shamet makes 26-foot three point jumper (Guerschon Yabusele assists),20,18,Unknown
2:00,Celtics Full timeout,20,18,Celtics
2:00,Karl-Anthony Towns enters the game for Guerschon Yabusele,20,18,Unknown
2:00,Jaylen Brown enters the game for Baylor Scheierman,20,18,Celtics
1:38,Xavier Tillman makes 24-foot three point jumper (Anfernee Simons assists),23,18,Celtics
1:09,Josh Hart makes layup (Karl-Anthony Towns assists),23,20,Unknown
49.2,Jaylen Brown makes 25-foot three pointer,26,20,Celtics
49.2,OG Anunoby shooting foul,26,20,Unknown
49.2,Jaylen Brown makes free throw 1 of 1,27,20,Celtics
29.0,Jalen Brunson makes 12-foot two point shot,27,22,Unknown
17.2,Anfernee Simons makes 24-foot three point jumper (Jaylen Brown assists),30,22,Celtics
1.2,Josh Hart misses driving layup,30,22,Unknown
1.0,Hugo Gonzalez defensive rebound,30,22,Celtics
0.0,End of the 1st Quarter,30,22,Unknown
,[ QUARTER 5 ENDED ],,,
