time,description,home_score,away_score,team
4:47,Bones Hyland enters the game for Terrence Shannon Jr.,102,126,Timberwolves
4:47,Joan Beringer enters the game for Julius Randle,102,126,Timberwolves
4:47,Jaylen Clark enters the game for Donte DiVincenzo,102,126,Timberwolves
4:47,Anthony Edwards makes free throw 2 of 2,103,126,Timberwolves
4:36,Luka Doncic misses 34-foot three point pullup jump shot,103,126,Lakers
4:31,Joan Beringer defensive rebound,103,126,Timberwolves
4:18,Jaden McDaniels misses 23-foot three point pullup jump shot,103,126,Timberwolves
4:16,Austin Reaves defensive rebound,103,126,Lakers
3:59,Deandre Ayton 3 second turnover,103,126,Lakers
3:59,Joe Ingles enters the game for Jaden McDaniels,103,126,Timberwolves
3:59,Leonard Miller enters the game for Anthony Edwards,103,126,Timberwolves
3:45,Bones Hyland misses 28-foot three point jumper,103,126,Timberwolves
3:42,Gabe Vincent defensive rebound,103,126,Lakers
3:29,Luka Doncic misses driving floating jump shot,103,126,Lakers
3:28,Deandre Ayton offensive rebound,103,126,Lakers
3:28,Deandre Ayton misses tip shot,103,126,Lakers
3:28,Jaylen Clark defensive rebound,103,126,Timberwolves
3:20,Leonard Miller offensive charge,103,126,Timberwolves
3:20,Leonard Miller turnover,103,126,Timberwolves
3:14,Lakers Full timeout,103,126,Lakers
3:14,Jarred Vanderbilt enters the game for Deandre Ayton,103,126,Lakers
3:14,Dalton Knecht enters the game for Gabe Vincent,103,126,Lakers
3:14,Bronny James enters the game for Austin Reaves,103,126,Lakers
3:14,Johnny Juzang enters the game for Jaylen Clark,103,126,Timberwolves
3:05,Bones Hyland shooting foul,103,126,Timberwolves
3:05,Luka Doncic misses free throw 1 of 2,103,126,Lakers
3:05,Lakers offensive team rebound,103,126,Lakers
3:05,Luka Doncic makes free throw 2 of 2,103,127,Lakers
3:01,Bronny James personal take foul,103,127,Lakers
3:01,Christian Koloko enters the game for Luka Doncic,103,127,Lakers
2:49,Joan Beringer makes alley oop dunk shot (Joe Ingles assists),105,127,Timberwolves
2:30,Bronny James misses two point shot,105,127,Lakers
2:28,Leonard Miller defensive rebound,105,127,Timberwolves
2:20,Bones Hyland makes driving layup,107,127,Timberwolves
2:01,Dalton Knecht misses 31-foot three point jumper,107,127,Lakers
1:58,Joan Beringer defensive rebound,107,127,Timberwolves
1:55,Leonard Miller makes two point shot (Bones Hyland assists),109,127,Timberwolves
1:31,shot clock turnover,109,127,Lakers
1:21,Christian Koloko shooting foul,109,127,Lakers
1:21,Johnny Juzang makes free throw 1 of 2,110,127,Timberwolves
1:21,Johnny Juzang misses free throw 2 of 2,110,127,Timberwolves
1:17,Dalton Knecht defensive rebound,110,127,Lakers
1:05,Johnny Juzang shooting foul,110,127,Timberwolves
1:05,Jake LaRavia makes free throw 1 of 2,110,128,Lakers
1:05,Jake LaRavia misses free throw 2 of 2,110,128,Lakers
1:02,Joan Beringer defensive rebound,110,128,Timberwolves
45.0,Johnny Juzang misses 23-foot three point jumper,110,128,Timberwolves
40.8,Joan Beringer offensive rebound,110,128,Timberwolves
37.4,Joe Ingles misses 27-foot three point jumper,110,128,Timberwolves
35.6,Johnny Juzang offensive rebound,110,128,Timberwolves
33.9,Johnny Juzang misses 23-foot three point jumper,110,128,Timberwolves
29.8,Jarred Vanderbilt defensive rebound,110,128,Lakers
9.6,shot clock turnover,110,128,Lakers
0.0,End of the 4th Quarter,110,128,Unknown
0.0,End of Game,110,128,Unknown
,[ QUARTER 4 ENDED ],,,
12:00,Rudy Gobert vs. Deandre Ayton (Anthony Edwards gains possession),0,0,Timberwolves
11:44,Anthony Edwards misses 26-foot three point pullup jump shot,0,0,Timberwolves
11:43,Austin Reaves defensive rebound,0,0,Lakers
11:43,Austin Reaves out of bounds bad pass turnover,0,0,Lakers
11:34,Donte DiVincenzo makes 9-foot driving floating jump shot (Rudy Gobert assists),2,0,Timberwolves
11:07,Luka Doncic misses 26-foot three point pullup jump shot,2,0,Lakers
11:03,Anthony Edwards defensive rebound,2,0,Timberwolves
11:01,Jaden McDaniels makes two point shot (Anthony Edwards assists),4,0,Timberwolves
10:47,Austin Reaves misses 25-foot three point pullup jump shot,4,0,Lakers
10:43,Julius Randle defensive rebound,4,0,Timberwolves
10:37,Jaden McDaniels makes 10-foot two point shot (Julius Randle assists),6,0,Timberwolves
10:21,Donte DiVincenzo shooting foul,6,0,Timberwolves
10:21,Luka Doncic makes free throw 1 of 2,6,1,Lakers
10:21,Luka Doncic makes free throw 2 of 2,6,2,Lakers
9:56,Jaden McDaniels misses 23-foot three point pullup jump shot,6,2,Timberwolves
9:55,Timberwolves offensive team rebound,6,2,Timberwolves
9:48,Julius Randle makes 24-foot three point jumper (Anthony Edwards assists),9,2,Timberwolves
9:35,Luka Doncic makes 14-foot two point shot,9,4,Lakers
9:28,Luka Doncic shooting foul,9,4,Lakers
9:28,Julius Randle misses free throw 1 of 2,9,4,Timberwolves
9:28,Timberwolves offensive team rebound,9,4,Timberwolves
9:28,Julius Randle makes free throw 2 of 2,10,4,Timberwolves
9:18,Luka Doncic makes 27-foot three pointer (Austin Reaves assists),10,7,Lakers
9:02,Anthony Edwards misses 13-foot step back jumpshot,10,7,Timberwolves
9:00,Austin Reaves defensive rebound,10,7,Lakers
8:57,Luka Doncic misses 28-foot three point jumper,10,7,Lakers
8:52,Julius Randle defensive rebound,10,7,Timberwolves
8:41,Julius Randle makes 27-foot three pointer (Rudy Gobert assists),13,7,Timberwolves
8:23,Rui Hachimura makes 25-foot three point jumper (Austin Reaves assists),13,10,Lakers
8:09,Donte DiVincenzo makes 27-foot three point jumper (Julius Randle assists),16,10,Timberwolves
7:58,Gabe Vincent makes 23-foot three point jumper (Luka Doncic assists),16,13,Lakers
7:47,Donte DiVincenzo makes 23-foot three point jumper (Julius Randle assists),19,13,Timberwolves
7:29,Luka Doncic bad pass (Donte DiVincenzo steals),19,13,Lakers
7:25,Anthony Edwards makes two point shot (Donte DiVincenzo assists),21,13,Timberwolves
7:25,Lakers Full timeout,21,13,Lakers
7:10,Luka Doncic makes 8-foot two point shot (Austin Reaves assists),21,15,Lakers
6:49,Anthony Edwards makes 15-foot two point shot,23,15,Timberwolves
6:40,Gabe Vincent misses 22-foot three point jumper,23,15,Lakers
6:38,Julius Randle defensive rebound,23,15,Timberwolves
6:32,Anthony Edwards makes 27-foot three point step back jumpshot,26,15,Timberwolves
6:14,Austin Reaves makes 3-foot two point shot,26,17,Lakers
6:10,Timberwolves Full timeout,26,17,Timberwolves
6:10,(06:10) [Timberwolves] COACH'S CHALLENGE (CALL OVERTURNED) [Timberwolves] retain their timeout,26,17,Timberwolves
6:10,Luka Doncic personal foul,26,17,Lakers
6:10,Jake LaRavia enters the game for Rui Hachimura,26,17,Lakers
6:10,Marcus Smart enters the game for Gabe Vincent,26,17,Lakers
6:10,Naz Reid enters the game for Rudy Gobert,26,17,Timberwolves
6:00,Julius Randle makes 16-foot pullup jump shot (Anthony Edwards assists),28,17,Timberwolves
5:44,Luka Doncic misses 4-foot two point shot,28,17,Lakers
5:42,Naz Reid defensive rebound,28,17,Timberwolves
5:36,Naz Reid misses 11-foot two point shot,28,17,Timberwolves
5:33,Austin Reaves defensive rebound,28,17,Lakers
5:27,Austin Reaves makes 5-foot pullup jump shot,28,19,Lakers
5:16,Julius Randle misses 29-foot three point jumper,28,19,Timberwolves
5:12,Deandre Ayton defensive rebound,28,19,Lakers
4:58,Mike Conley enters the game for Donte DiVincenzo,28,19,Timberwolves
4:55,Jake LaRavia makes 26-foot three point jumper (Austin Reaves assists),28,22,Lakers
4:34,Anthony Edwards misses 29-foot three point pullup jump shot,28,22,Timberwolves
4:32,Luka Doncic defensive rebound,28,22,Lakers
4:22,Jaden McDaniels blocks Deandre Ayton 's 5-foot hook shot,28,22,Lakers
4:19,Naz Reid defensive rebound,28,22,Timberwolves
4:14,Julius Randle out of bounds bad pass turnover,28,22,Timberwolves
4:14,Dalton Knecht enters the game for Austin Reaves,28,22,Lakers
4:14,Terrence Shannon Jr. enters the game for Julius Randle,28,22,Timberwolves
4:00,Luka Doncic makes 26-foot three point step back jumpshot,28,25,Lakers
3:45,Deandre Ayton blocks Terrence Shannon Jr. 's 4-foot two point shot,28,25,Timberwolves
3:44,Jaden McDaniels offensive rebound,28,25,Timberwolves
3:44,Jaden McDaniels makes two point shot,30,25,Timberwolves
3:32,Luka Doncic makes 16-foot driving floating jump shot,30,27,Lakers
3:32,Mike Conley shooting foul,30,27,Timberwolves
3:32,Jarred Vanderbilt enters the game for Deandre Ayton,30,27,Lakers
3:32,Luka Doncic misses free throw 1 of 1,30,27,Lakers
3:29,Mike Conley defensive rebound,30,27,Timberwolves
3:18,Anthony Edwards makes 10-foot two point shot,32,27,Timberwolves
3:18,Dalton Knecht shooting foul,32,27,Lakers
3:18,Rudy Gobert enters the game for Jaden McDaniels,32,27,Timberwolves
3:18,Anthony Edwards misses free throw 1 of 1,32,27,Timberwolves
3:15,Naz Reid offensive rebound,32,27,Timberwolves
3:12,Anthony Edwards makes 15-foot pullup jump shot,34,27,Timberwolves
3:00,Luka Doncic makes 28-foot three point step back jumpshot,34,30,Lakers
2:32,Mike Conley misses driving floating jump shot,34,30,Timberwolves
2:27,Mike Conley offensive rebound,34,30,Timberwolves
2:27,Mike Conley misses tip shot,34,30,Timberwolves
2:26,Jarred Vanderbilt defensive rebound,34,30,Lakers
2:23,Mike Conley shooting foul,34,30,Timberwolves
2:23,Luka Doncic misses free throw 1 of 2,34,30,Lakers
2:23,Lakers offensive team rebound,34,30,Lakers
2:23,Luka Doncic makes free throw 2 of 2,34,31,Lakers
2:03,Naz Reid makes 27-foot three point jumper (Mike Conley assists),37,31,Timberwolves
1:47,Luka Doncic makes 29-foot three pointer,37,34,Lakers
1:37,Mike Conley misses 26-foot three point pullup jump shot,37,34,Timberwolves
1:36,Timberwolves offensive team rebound,37,34,Timberwolves
1:36,Austin Reaves enters the game for Jake LaRavia,37,34,Lakers
1:23,Anthony Edwards makes 26-foot three point step back jumpshot,40,34,Timberwolves
1:07,Luka Doncic makes driving layup,40,36,Lakers
53.0,Terrence Shannon Jr. misses 28-foot three point jumper,40,36,Timberwolves
50.6,Luka Doncic defensive rebound,40,36,Lakers
39.6,Naz Reid blocks Luka Doncic 's 27-foot three point jumper,40,36,Lakers
35.9,Terrence Shannon Jr. defensive rebound,40,36,Timberwolves
35.3,Austin Reaves personal foul,40,36,Lakers
35.3,Deandre Ayton enters the game for Luka Doncic,40,36,Lakers
30.7,Naz Reid misses 29-foot three point jumper,40,36,Timberwolves
28.4,Austin Reaves defensive rebound,40,36,Lakers
14.2,Austin Reaves misses 27-foot three point step back jumpshot,40,36,Lakers
8.5,Terrence Shannon Jr. defensive rebound,40,36,Timberwolves
7.4,Terrence Shannon Jr. bad pass (Jarred Vanderbilt steals),40,36,Timberwolves
1.0,Austin Reaves misses two point shot,40,36,Lakers
1.0,Lakers offensive team rebound,40,36,Lakers
0.3,Austin Reaves misses 28-foot three point jumper,40,36,Lakers
0.1,Lakers offensive team rebound,40,36,Lakers
0.0,End of the 1st Quarter,40,36,Unknown
,[ QUARTER 5 ENDED ],,,
