time,description,home_score,away_score,team
6:10,Desmond Bane misses 25-foot three point pullup jump shot,93,93,Magic
6:07,Trae Young defensive rebound,93,93,Hawks
5:59,Trae Young makes 29-foot three point shot,96,93,Hawks
5:41,Desmond Bane misses 27-foot pullup jump shot,96,93,Magic
5:38,Wendell Carter Jr. offensive rebound,96,93,Magic
5:37,Dyson Daniels shooting foul,96,93,Hawks
5:37,Wendell Carter Jr. makes free throw 1 of 2,96,94,Magic
5:37,Jalen Johnson enters the game for Asa Newell,96,94,Hawks
5:37,Onyeka Okongwu enters the game for Mouhamed Gueye,96,94,Hawks
5:37,Wendell Carter Jr. misses free throw 2 of 2,96,94,Magic
5:33,Dyson Daniels defensive rebound,96,94,Hawks
5:25,Trae Young makes 2-foot driving floating jump shot,98,94,Hawks
5:25,Desmond Bane shooting foul,98,94,Magic
5:25,Tristan da Silva enters the game for Jett Howard,98,94,Magic
5:25,Nickeil Alexander-Walker enters the game for Luke Kennard,98,94,Hawks
5:25,Trae Young misses free throw 1 of 1,98,94,Hawks
5:22,Desmond Bane defensive rebound,98,94,Magic
5:08,Onyeka Okongwu blocks Desmond Bane 's 2-foot two point shot,98,94,Magic
5:04,Desmond Bane offensive rebound,98,94,Magic
5:02,Desmond Bane makes two point shot,98,96,Magic
4:48,Trae Young misses 19-foot step back jumpshot,98,96,Hawks
4:45,Wendell Carter Jr. defensive rebound,98,96,Magic
4:33,Onyeka Okongwu shooting foul,98,96,Hawks
4:33,Wendell Carter Jr. makes free throw 1 of 2,98,97,Magic
4:33,Hawks Full timeout,98,97,Hawks
4:33,Franz Wagner enters the game for Tristan da Silva,98,97,Magic
4:33,Wendell Carter Jr. makes free throw 2 of 2,98,98,Magic
4:07,Onyeka Okongwu makes 5-foot two point shot,100,98,Hawks
3:43,Paolo Banchero misses 9-foot two point shot,100,98,Magic
3:40,Dyson Daniels defensive rebound,100,98,Hawks
3:20,Onyeka Okongwu makes 23-foot three point jumper (Dyson Daniels assists),103,98,Hawks
3:04,Paolo Banchero makes driving layup,103,100,Magic
2:56,Paolo Banchero shooting foul,103,100,Magic
2:56,Jalen Johnson makes free throw 1 of 2,104,100,Hawks
2:56,Jalen Suggs enters the game for Tyus Jones,104,100,Magic
2:56,Jalen Johnson makes free throw 2 of 2,105,100,Hawks
2:35,Franz Wagner misses two point shot,105,100,Magic
2:34,Wendell Carter Jr. offensive rebound,105,100,Magic
2:34,Dyson Daniels shooting foul,105,100,Hawks
2:34,Wendell Carter Jr. misses free throw 1 of 2,105,100,Magic
2:34,Magic offensive team rebound,105,100,Magic
2:34,Wendell Carter Jr. makes free throw 2 of 2,105,101,Magic
2:10,Jalen Johnson misses 13-foot two point shot,105,101,Hawks
2:06,Desmond Bane defensive rebound,105,101,Magic
2:02,Jalen Suggs out of bounds bad pass turnover,105,101,Magic
1:47,Jalen Suggs personal foul,105,101,Magic
1:32,Trae Young misses 26-foot three point jumper,105,101,Hawks
1:26,Jalen Suggs defensive rebound,105,101,Magic
1:26,Paolo Banchero makes 3-foot dunk (Jalen Suggs assists),105,103,Magic
1:15,Nickeil Alexander-Walker misses 27-foot three point jumper,105,103,Hawks
1:12,Desmond Bane defensive rebound,105,103,Magic
1:03,Paolo Banchero misses 22-foot three point jumper,105,103,Magic
58.5,Dyson Daniels defensive rebound,105,103,Hawks
58.2,Dyson Daniels lost ball turnover (Wendell Carter Jr. steals),105,103,Hawks
55.0,Desmond Bane misses 24-foot three point jumper,105,103,Magic
54.2,Onyeka Okongwu loose ball foul,105,103,Hawks
54.2,Wendell Carter Jr. makes free throw 1 of 2,105,104,Magic
54.2,Wendell Carter Jr. makes free throw 2 of 2,105,105,Magic
54.2,Hawks Full timeout,105,105,Hawks
54.2,Magic offensive team rebound,105,105,Magic
46.3,Trae Young makes 15-foot driving floating jump shot (Onyeka Okongwu assists),107,105,Hawks
46.1,Magic Full timeout,107,105,Magic
38.2,Jalen Suggs makes driving layup (Paolo Banchero assists),107,107,Magic
21.0,Wendell Carter Jr. shooting foul,107,107,Magic
21.0,Trae Young makes free throw 1 of 2,108,107,Hawks
21.0,Goga Bitadze enters the game for Desmond Bane,108,107,Magic
21.0,Trae Young makes free throw 2 of 2,109,107,Hawks
21.0,Magic Full timeout,109,107,Magic
21.0,Desmond Bane enters the game for Goga Bitadze,109,107,Magic
21.0,Mouhamed Gueye enters the game for Trae Young,109,107,Hawks
9.7,Paolo Banchero misses 25-foot three point jumper,109,107,Magic
5.1,Mouhamed Gueye defensive rebound,109,107,Hawks
5.1,Hawks Full timeout,109,107,Hawks
5.1,Anthony Black enters the game for Jalen Suggs,109,107,Magic
5.1,Luke Kennard enters the game for Dyson Daniels,109,107,Hawks
5.1,Trae Young enters the game for Mouhamed Gueye,109,107,Hawks
1.0,Franz Wagner personal foul,109,107,Magic
1.0,Trae Young makes free throw 1 of 2,110,107,Hawks
1.0,Jalen Suggs enters the game for Anthony Black,110,107,Magic
1.0,Dyson Daniels enters the game for Luke Kennard,110,107,Hawks
1.0,Trae Young makes free throw 2 of 2,111,107,Hawks
0.0,Jalen Suggs bad pass (Jalen Johnson steals),111,107,Magic
0.0,End of the 4th Quarter,111,107,Unknown
0.0,End of Game,111,107,Unknown
,[ QUARTER 4 ENDED ],,,
12:00,Onyeka Okongwu vs. Wendell Carter Jr. (Jalen Suggs gains possession),0,0,Magic
11:41,Onyeka Okongwu shooting foul,0,0,Hawks
11:41,Wendell Carter Jr. misses free throw 1 of 2,0,0,Magic
11:41,Magic offensive team rebound,0,0,Magic
11:41,Wendell Carter Jr. misses free throw 2 of 2,0,0,Magic
11:37,Jalen Johnson defensive rebound,0,0,Hawks
11:23,Jalen Johnson misses 10-foot two point shot,0,0,Hawks
11:21,Wendell Carter Jr. defensive rebound,0,0,Magic
11:14,Franz Wagner makes 22-foot three point jumper (Jalen Suggs assists),0,3,Magic
11:01,Jalen Suggs kicked ball violation,0,3,Magic
10:52,Dyson Daniels makes 7-foot driving floating jump shot,2,3,Hawks
10:32,Franz Wagner makes 2-foot driving floating jump shot (Desmond Bane assists),2,5,Magic
10:24,Trae Young bad pass (Franz Wagner steals),2,5,Hawks
10:19,Desmond Bane makes two point shot,2,7,Magic
10:19,Onyeka Okongwu shooting foul,2,7,Hawks
10:19,Mouhamed Gueye enters the game for Onyeka Okongwu,2,7,Hawks
10:19,Desmond Bane makes free throw 1 of 1,2,8,Magic
10:04,Trae Young makes driving layup,4,8,Hawks
10:01,Jalen Suggs lost ball turnover (Trae Young steals),4,8,Magic
9:55,Jalen Johnson makes 2-foot dunk (Nickeil Alexander-Walker assists),6,8,Hawks
9:49,Jalen Suggs offensive charge,6,8,Magic
9:49,Jalen Suggs turnover,6,8,Magic
9:33,Trae Young misses 26-foot three point pullup jump shot,6,8,Hawks
9:33,Desmond Bane defensive rebound,6,8,Magic
9:33,Desmond Bane traveling,6,8,Magic
9:14,Mouhamed Gueye misses 11-foot two point shot,6,8,Hawks
9:12,Franz Wagner defensive rebound,6,8,Magic
8:59,Jalen Suggs makes 26-foot three point jumper (Desmond Bane assists),6,11,Magic
8:43,Trae Young misses 26-foot three point step back jumpshot,6,11,Hawks
8:40,Jalen Suggs defensive rebound,6,11,Magic
8:33,Desmond Bane bad pass (Trae Young steals),6,11,Magic
8:33,Desmond Bane personal foul,6,11,Magic
8:20,Dyson Daniels makes 4-foot layup (Nickeil Alexander-Walker assists),8,11,Hawks
8:08,Paolo Banchero makes driving layup,8,13,Magic
7:58,Jalen Johnson offensive foul,8,13,Hawks
7:58,Jalen Johnson turnover,8,13,Hawks
7:48,Paolo Banchero out of bounds lost ball turnover,8,13,Magic
7:37,Nickeil Alexander-Walker makes 12-foot pullup jump shot (Jalen Johnson assists),10,13,Hawks
7:17,Desmond Bane misses 25-foot three point jumper,10,13,Magic
7:17,Hawks defensive team rebound,10,13,Hawks
7:17,Anthony Black enters the game for Jalen Suggs,10,13,Magic
7:00,Nickeil Alexander-Walker misses 22-foot three point jumper,10,13,Hawks
6:57,Anthony Black defensive rebound,10,13,Magic
6:50,Anthony Black offensive foul,10,13,Magic
6:50,Anthony Black turnover,10,13,Magic
6:50,Magic Full timeout,10,13,Magic
6:50,Tristan da Silva enters the game for Franz Wagner,10,13,Magic
6:50,Luke Kennard enters the game for Trae Young,10,13,Hawks
6:33,Dyson Daniels misses driving floating jump shot,10,13,Hawks
6:31,Luke Kennard offensive rebound,10,13,Hawks
6:29,Mouhamed Gueye misses 22-foot three point jumper,10,13,Hawks
6:29,Hawks offensive team rebound,10,13,Hawks
6:27,Nickeil Alexander-Walker steps out of bounds turnover,10,13,Hawks
6:10,Paolo Banchero offensive foul,10,13,Magic
6:10,Paolo Banchero turnover,10,13,Magic
5:56,Jalen Johnson misses 4-foot two point shot,10,13,Hawks
5:55,Mouhamed Gueye offensive rebound,10,13,Hawks
5:55,Wendell Carter Jr. shooting foul,10,13,Magic
5:55,Mouhamed Gueye misses free throw 1 of 2,10,13,Hawks
5:55,Hawks offensive team rebound,10,13,Hawks
5:55,Mouhamed Gueye misses free throw 2 of 2,10,13,Hawks
5:51,Tristan da Silva defensive rebound,10,13,Magic
5:50,Jalen Johnson shooting foul,10,13,Hawks
5:50,Anthony Black misses free throw 1 of 2,10,13,Magic
5:50,Magic offensive team rebound,10,13,Magic
5:50,Anthony Black misses free throw 2 of 2,10,13,Magic
5:47,Dyson Daniels defensive rebound,10,13,Hawks
5:33,Jalen Johnson makes 8-foot driving floating jump shot,12,13,Hawks
5:29,Luke Kennard shooting foul,12,13,Hawks
5:29,Desmond Bane makes free throw 1 of 2,12,14,Magic
5:29,Desmond Bane misses free throw 2 of 2,12,14,Magic
5:25,Jalen Johnson defensive rebound,12,14,Hawks
5:09,Nickeil Alexander-Walker misses 26-foot three point pullup jump shot,12,14,Hawks
5:06,Mouhamed Gueye offensive rebound,12,14,Hawks
5:03,Luke Kennard makes 11-foot jumper (Mouhamed Gueye assists),14,14,Hawks
4:54,Mouhamed Gueye blocks Paolo Banchero 's 2-foot driving layup,14,14,Magic
4:51,Nickeil Alexander-Walker defensive rebound,14,14,Hawks
4:49,Nickeil Alexander-Walker makes two point shot,16,14,Hawks
4:25,Wendell Carter Jr. makes 11-foot jumper (Desmond Bane assists),16,16,Magic
4:09,Luke Kennard lost ball turnover (Wendell Carter Jr. steals),16,16,Hawks
4:01,Desmond Bane misses 22-foot three point pullup jump shot,16,16,Magic
3:58,Jalen Johnson defensive rebound,16,16,Hawks
3:55,Jalen Johnson out of bounds bad pass turnover,16,16,Hawks
3:55,Tyus Jones enters the game for Desmond Bane,16,16,Magic
3:55,Goga Bitadze enters the game for Wendell Carter Jr.,16,16,Magic
3:42,Hawks Full timeout,16,16,Hawks
3:42,(03:42) [Hawks] COACH'S CHALLENGE (CALL OVERTURNED) [Hawks] retain their timeout,16,16,Hawks
3:42,Dyson Daniels blocks Paolo Banchero 's 4-foot driving dunk,16,16,Magic
3:42,Hawks defensive team rebound,16,16,Hawks
3:42,Trae Young enters the game for Jalen Johnson,16,16,Hawks
3:42,N'Faly Dante enters the game for Nickeil Alexander-Walker,16,16,Hawks
3:29,Mouhamed Gueye makes 22-foot three point jumper (Dyson Daniels assists),19,16,Hawks
3:06,Anthony Black out of bounds bad pass turnover,19,16,Magic
3:06,Vit Krejci enters the game for Dyson Daniels,19,16,Hawks
2:46,Mouhamed Gueye bad pass (Anthony Black steals),19,16,Hawks
2:30,Paolo Banchero misses two point shot,19,16,Magic
2:28,Mouhamed Gueye defensive rebound,19,16,Hawks
2:17,Trae Young misses 11-foot two point shot,19,16,Hawks
2:14,Paolo Banchero defensive rebound,19,16,Magic
2:11,Tristan da Silva makes 22-foot three point shot (Tyus Jones assists),19,19,Magic
1:53,Mouhamed Gueye misses 25-foot three point jumper,19,19,Hawks
1:50,N'Faly Dante offensive rebound,19,19,Hawks
1:43,Trae Young misses 26-foot three point pullup jump shot,19,19,Hawks
1:42,Hawks offensive team rebound,19,19,Hawks
1:42,Tristan da Silva personal foul,19,19,Magic
1:42,Franz Wagner enters the game for Anthony Black,19,19,Magic
1:42,Jalen Suggs enters the game for Paolo Banchero,19,19,Magic
1:31,Tyus Jones blocks Luke Kennard 's 8-foot pullup jump shot,19,19,Hawks
1:31,Luke Kennard offensive rebound,19,19,Hawks
1:23,Luke Kennard makes 5-foot driving floating jump shot,21,19,Hawks
1:15,Vit Krejci personal foul,21,19,Hawks
1:15,Franz Wagner makes free throw 1 of 2,21,20,Magic
1:15,Franz Wagner misses free throw 2 of 2,21,20,Magic
1:12,N'Faly Dante defensive rebound,21,20,Hawks
1:04,Vit Krejci makes 3-foot layup (Mouhamed Gueye assists),23,20,Hawks
52.9,Tristan da Silva misses driving floating jump shot,23,20,Magic
52.2,Tristan da Silva offensive rebound,23,20,Magic
50.7,Tristan da Silva makes 6-foot jumper,23,22,Magic
32.0,Luke Kennard out of bounds bad pass turnover,23,22,Hawks
12.6,Franz Wagner misses two point shot,23,22,Magic
10.5,N'Faly Dante defensive rebound,23,22,Hawks
8.1,N'Faly Dante bad pass (Tristan da Silva steals),23,22,Hawks
6.7,Franz Wagner makes 1-foot dunk (Tristan da Silva assists),23,24,Magic
3.3,Goga Bitadze personal foul,23,24,Magic
3.3,Trae Young makes free throw 1 of 2,24,24,Hawks
3.3,Trae Young makes free throw 2 of 2,25,24,Hawks
0.2,Franz Wagner misses heave jump shot,25,24,Magic
0.2,Magic offensive team rebound,25,24,Magic
0.0,End of the 1st Quarter,25,24,Unknown
,[ QUARTER 5 ENDED ],,,
