time,description,home_score,away_score,team
3:15,Reed Sheppard defensive rebound,97,130,Rockets
3:00,Jae'Sean Tate misses driving floating jump shot,97,130,Rockets
2:58,Day'Ron Sharpe defensive rebound,97,130,Nets
2:47,Jae'Sean Tate personal foul,97,130,Rockets
2:36,E.J. Liddell makes 23-foot three point jumper (Nolan Traore assists),100,130,Nets
2:12,Jae'Sean Tate makes 5-foot driving floating jump shot,100,132,Rockets
2:01,Jeff Green kicked ball violation,100,132,Rockets
1:54,Nolan Traore misses 24-foot three point jumper,100,132,Nets
1:50,E.J. Liddell offensive rebound,100,132,Nets
1:50,E.J. Liddell makes two point shot,102,132,Nets
1:50,Jae'Sean Tate shooting foul,102,132,Rockets
1:50,E.J. Liddell makes free throw 1 of 1,103,132,Nets
1:36,Jeff Green makes 25-foot three point jumper (Reed Sheppard assists),103,135,Rockets
1:17,Tyson Etienne misses 30-foot three point jumper,103,135,Nets
1:14,Day'Ron Sharpe offensive rebound,103,135,Nets
1:14,Nolan Traore makes 24-foot three point jumper (Day'Ron Sharpe assists),106,135,Nets
53.6,Jae'Sean Tate makes 5-foot driving floating jump shot (JD Davison assists),106,137,Rockets
36.2,E.J. Liddell misses 24-foot three point jumper,106,137,Nets
33.8,Day'Ron Sharpe offensive rebound,106,137,Nets
33.8,Jae'Sean Tate personal foul,106,137,Rockets
33.8,Day'Ron Sharpe makes free throw 1 of 2,107,137,Nets
33.8,Day'Ron Sharpe makes free throw 2 of 2,108,137,Nets
9.7,JD Davison misses 35-foot three point jumper,108,137,Rockets
9.7,Rockets offensive team rebound,108,137,Rockets
9.7,shot clock turnover,108,137,Rockets
5.4,Jeff Green shooting foul,108,137,Rockets
5.4,Nolan Traore misses free throw 1 of 2,108,137,Nets
5.4,Nets offensive team rebound,108,137,Nets
5.4,Nolan Traore makes free throw 2 of 2,109,137,Nets
0.0,End of the 4th Quarter,109,137,Unknown
0.0,End of Game,109,137,Unknown
,[ QUARTER 4 ENDED ],,,
12:00,Nic Claxton vs. Alperen Sengun (Michael Porter Jr. gains possession),0,0,Nets
11:37,Terance Mann makes driving floating jump shot (Nic Claxton assists),2,0,Nets
11:10,Alperen Sengun makes driving layup (Amen Thompson assists),0,2,Rockets
10:53,Terance Mann makes 26-foot three pointer (Nic Claxton assists),3,2,Nets
10:29,Josh Okogie misses driving layup,3,2,Rockets
10:26,Michael Porter Jr. defensive rebound,3,2,Nets
10:22,Michael Porter Jr. makes layup,5,2,Nets
10:11,Terance Mann personal foul,5,2,Nets
10:03,Amen Thompson misses 23-foot three point jumper,5,2,Rockets
10:03,Rockets offensive team rebound,5,2,Rockets
10:03,Nic Claxton loose ball foul,5,2,Nets
9:56,Kevin Durant makes 5-foot two point shot (Alperen Sengun assists),7,4,Rockets
9:36,Terance Mann misses 24-foot three point jumper,7,4,Nets
9:35,Amen Thompson defensive rebound,7,4,Rockets
9:28,Alperen Sengun makes 2-foot dunk (Amen Thompson assists),7,6,Rockets
9:28,Ben Saraf shooting foul,7,6,Nets
9:28,Alperen Sengun makes free throw 1 of 1,7,7,Rockets
9:20,Amen Thompson personal foul,7,7,Rockets
9:15,Terance Mann makes 3-foot two point shot,9,7,Nets
8:54,Kevin Durant makes driving layup,9,9,Rockets
8:48,Nic Claxton makes 1-foot alley oop dunk shot (Ben Saraf assists),11,9,Nets
8:32,Kevin Durant misses 26-foot three point jumper,11,9,Rockets
8:28,Terance Mann defensive rebound,11,9,Nets
8:23,Michael Porter Jr. misses driving layup,11,9,Nets
8:22,Michael Porter Jr. offensive rebound,11,9,Nets
8:22,Michael Porter Jr. makes two point shot,13,9,Nets
8:08,Amen Thompson makes 1-foot driving dunk,13,11,Rockets
7:52,Ben Saraf misses driving layup,13,11,Nets
7:51,Kevin Durant defensive rebound,13,11,Rockets
7:42,Amen Thompson makes 1-foot driving dunk,13,13,Rockets
7:27,Amen Thompson personal foul,13,13,Rockets
7:27,Tari Eason enters the game for Amen Thompson,13,13,Rockets
7:20,Michael Porter Jr. misses 26-foot three point step back jumpshot,13,13,Nets
7:19,Tari Eason defensive rebound,13,13,Rockets
7:12,Kevin Durant misses driving layup,13,13,Rockets
7:10,Alperen Sengun offensive rebound,13,13,Rockets
6:59,Josh Okogie makes 26-foot three point jumper (Tari Eason assists),13,16,Rockets
6:33,Terance Mann makes 25-foot three point jumper (Nic Claxton assists),16,16,Nets
6:16,Michael Porter Jr. personal foul,16,16,Nets
6:16,Rockets Full timeout,16,16,Rockets
6:16,Steven Adams enters the game for Alperen Sengun,16,16,Rockets
6:09,Kevin Durant misses 25-foot three point pullup jump shot,16,16,Rockets
6:07,Steven Adams offensive rebound,16,16,Rockets
6:03,Tari Eason misses 17-foot jumper,16,16,Rockets
6:03,Jabari Smith Jr. offensive rebound,16,16,Rockets
6:01,Jabari Smith Jr. makes two point shot,16,18,Rockets
6:01,Nic Claxton defensive goaltending violation,16,18,Nets
5:45,Ben Saraf misses 25-foot three point jumper,16,18,Nets
5:41,Tari Eason defensive rebound,16,18,Rockets
5:37,Tari Eason makes 3-foot two point shot,16,20,Rockets
5:37,Terance Mann shooting foul,16,20,Nets
5:37,Jalen Wilson enters the game for Terance Mann,16,20,Nets
5:37,Tari Eason misses free throw 1 of 1,16,20,Rockets
5:37,Rockets offensive team rebound,16,20,Rockets
5:37,Nic Claxton loose ball foul,16,20,Nets
5:37,Steven Adams makes free throw 1 of 2,16,21,Rockets
5:37,Day'Ron Sharpe enters the game for Nic Claxton,16,21,Nets
5:37,Steven Adams makes free throw 2 of 2,16,22,Rockets
5:19,Ben Saraf makes 24-foot three point jumper (Cam Thomas assists),19,22,Nets
5:07,Jalen Wilson personal foul,19,22,Nets
5:07,Kevin Durant makes free throw 1 of 2,19,23,Rockets
5:07,Nolan Traore enters the game for Michael Porter Jr.,19,23,Nets
5:07,Noah Clowney enters the game for Ben Saraf,19,23,Nets
5:07,Kevin Durant makes free throw 2 of 2,19,24,Rockets
4:42,shot clock turnover,19,24,Nets
4:30,Josh Okogie makes 26-foot three point jumper (Kevin Durant assists),19,27,Rockets
4:07,Nolan Traore misses two point shot,19,27,Nets
4:05,Steven Adams defensive rebound,19,27,Rockets
3:55,Kevin Durant misses 7-foot two point shot,19,27,Rockets
3:53,Jalen Wilson defensive rebound,19,27,Nets
3:48,Jalen Wilson misses 24-foot three point jumper,19,27,Nets
3:44,Noah Clowney offensive rebound,19,27,Nets
3:40,Jalen Wilson misses 24-foot three point jumper,19,27,Nets
3:37,Kevin Durant defensive rebound,19,27,Rockets
3:35,Reed Sheppard enters the game for Jabari Smith Jr.,19,27,Rockets
3:35,Tyrese Martin enters the game for Cam Thomas,19,27,Nets
3:28,Tari Eason misses 25-foot three point pullup jump shot,19,27,Rockets
3:25,Day'Ron Sharpe defensive rebound,19,27,Nets
3:12,Tyrese Martin makes 22-foot three point jumper (Nolan Traore assists),22,27,Nets
2:57,Kevin Durant misses 17-foot pullup jump shot,22,27,Rockets
2:55,Day'Ron Sharpe defensive rebound,22,27,Nets
2:48,Day'Ron Sharpe makes 24-foot three point jumper (Jalen Wilson assists),25,27,Nets
2:33,Kevin Durant makes 3-foot driving dunk (Reed Sheppard assists),25,29,Rockets
2:33,Nets Full timeout,25,29,Nets
2:33,Alperen Sengun enters the game for Kevin Durant,25,29,Rockets
2:33,Amen Thompson enters the game for Josh Okogie,25,29,Rockets
2:20,Nolan Traore bad pass (Amen Thompson steals),25,29,Nets
1:59,Day'Ron Sharpe shooting foul,25,29,Nets
1:59,Steven Adams makes free throw 1 of 2,25,30,Rockets
1:59,Steven Adams makes free throw 2 of 2,25,31,Rockets
1:49,Tyrese Martin misses 27-foot three point jumper,25,31,Nets
1:46,Amen Thompson defensive rebound,25,31,Rockets
1:42,Reed Sheppard makes 24-foot three point shot (Amen Thompson assists),25,34,Rockets
1:16,Steven Adams blocks Noah Clowney 's 23-foot three point jumper,25,34,Nets
1:16,Nets offensive team rebound,25,34,Nets
1:16,shot clock turnover,25,34,Nets
1:00,Alperen Sengun makes 3-foot layup (Steven Adams assists),25,36,Rockets
50.2,Noah Clowney misses 23-foot jumper,25,36,Nets
47.5,Tyrese Martin offensive rebound,25,36,Nets
41.2,Jalen Wilson misses 24-foot three point jumper,25,36,Nets
38.8,Tari Eason defensive rebound,25,36,Rockets
30.5,Tari Eason makes 22-foot three point jumper (Amen Thompson assists),25,39,Rockets
14.8,Tyrese Martin misses 26-foot three point jumper,25,39,Nets
13.1,Reed Sheppard defensive rebound,25,39,Rockets
2.5,Tari Eason makes 26-foot three point jumper (Alperen Sengun assists),25,42,Rockets
0.0,Nolan Traore misses heave jump shot,25,42,Nets
0.0,Nets offensive team rebound,25,42,Nets
0.0,End of the 1st Quarter,25,42,Unknown
,[ QUARTER 5 ENDED ],,,
