time,description,home_score,away_score,team
11:08,Reed Sheppard makes 30-foot three point jumper (Alperen Sengun assists),89,89,Rockets
10:53,Javonte Green misses driving layup,89,89,Pistons
10:52,Alperen Sengun defensive rebound,89,89,Rockets
10:38,Reed Sheppard misses 28-foot three point step back jumpshot,89,89,Rockets
10:36,Ausar Thompson defensive rebound,89,89,Pistons
10:26,Ausar Thompson misses 18-foot two point shot,89,89,Pistons
10:25,Alperen Sengun defensive rebound,89,89,Rockets
10:13,Amen Thompson makes two point shot,89,91,Rockets
10:02,Cade Cunningham makes 26-foot three point step back jumpshot,92,91,Pistons
9:40,Reed Sheppard out of bounds bad pass turnover,92,91,Rockets
9:40,Isaiah Stewart enters the game for Paul Reed,92,91,Pistons
9:40,Ronald Holland II enters the game for Ausar Thompson,92,91,Pistons
9:33,Javonte Green makes 27-foot three point jumper (Cade Cunningham assists),95,91,Pistons
9:17,Amen Thompson out of bounds bad pass turnover,95,91,Rockets
9:06,Cade Cunningham bad pass (Alperen Sengun steals),95,91,Pistons
9:03,Alperen Sengun makes 3-foot dunk,95,93,Rockets
8:44,Cade Cunningham misses 13-foot step back jumpshot,95,93,Pistons
8:41,Cade Cunningham offensive rebound,95,93,Pistons
8:40,Reed Sheppard personal foul,95,93,Rockets
8:40,Kevin Durant enters the game for Reed Sheppard,95,93,Rockets
8:40,Tobias Harris enters the game for Javonte Green,95,93,Pistons
8:28,Cade Cunningham makes 29-foot three point step back jumpshot (Ronald Holland II assists),98,93,Pistons
8:07,Kevin Durant makes 20-foot pullup jump shot (Alperen Sengun assists),98,95,Rockets
7:50,Tobias Harris misses 23-foot three point jumper,98,95,Pistons
7:49,Amen Thompson defensive rebound,98,95,Rockets
7:34,Ronald Holland II shooting foul,98,95,Pistons
7:34,Ausar Thompson enters the game for Ronald Holland II,98,95,Pistons
7:34,Kevin Durant makes free throw 1 of 2,98,96,Rockets
7:34,Kevin Durant makes free throw 2 of 2,98,97,Rockets
7:16,Ausar Thompson misses 12-foot pullup jump shot,98,97,Pistons
7:15,Jabari Smith Jr. defensive rebound,98,97,Rockets
7:04,Ausar Thompson blocks Alperen Sengun 's 3-foot driving layup,98,97,Rockets
7:03,Cade Cunningham defensive rebound,98,97,Pistons
6:59,Isaiah Stewart misses two point shot,98,97,Pistons
6:55,Amen Thompson defensive rebound,98,97,Rockets
6:52,Tobias Harris shooting foul,98,97,Pistons
6:52,Rockets Full timeout,98,97,Rockets
6:52,Kevin Durant makes free throw 1 of 2,98,98,Rockets
6:52,Kevin Durant makes free throw 2 of 2,98,99,Rockets
6:52,Daniss Jenkins enters the game for Cade Cunningham,98,99,Pistons
6:37,Daniss Jenkins makes 26-foot three pointer (Ausar Thompson assists),101,99,Pistons
6:17,Kevin Durant makes 2-foot dunk (Alperen Sengun assists),101,101,Rockets
5:53,Tobias Harris makes 14-foot step back jumpshot,103,101,Pistons
5:37,Isaiah Stewart personal foul,103,101,Pistons
5:37,Paul Reed enters the game for Isaiah Stewart,103,101,Pistons
5:30,Paul Reed shooting foul,103,101,Pistons
5:30,Kevin Durant misses free throw 1 of 2,103,101,Rockets
5:30,Rockets offensive team rebound,103,101,Rockets
5:30,Cade Cunningham enters the game for Daniss Jenkins,103,101,Pistons
5:30,Kevin Durant makes free throw 2 of 2,103,102,Rockets
5:20,Jabari Smith Jr. blocks Cade Cunningham 's 1-foot driving dunk,103,102,Pistons
5:18,Paul Reed offensive rebound,103,102,Pistons
5:14,Paul Reed misses 4-foot two point shot,103,102,Pistons
5:12,Alperen Sengun defensive rebound,103,102,Rockets
5:02,Duncan Robinson blocks Alperen Sengun 's 7-foot driving layup,103,102,Rockets
4:59,Duncan Robinson defensive rebound,103,102,Pistons
4:54,Ausar Thompson makes two point shot (Duncan Robinson assists),105,102,Pistons
4:36,Kevin Durant makes 27-foot three pointer,105,105,Rockets
4:14,Cade Cunningham makes 10-foot two point shot,107,105,Pistons
3:51,Cade Cunningham blocks Amen Thompson 's 4-foot layup,107,105,Rockets
3:50,Ausar Thompson defensive rebound,107,105,Pistons
3:40,Cade Cunningham misses driving layup,107,105,Pistons
3:37,Paul Reed offensive rebound,107,105,Pistons
3:37,Paul Reed makes tip shot,109,105,Pistons
3:34,Rockets Full timeout,109,105,Rockets
3:17,Jabari Smith Jr. misses driving layup,109,105,Rockets
3:16,Tari Eason offensive rebound,109,105,Rockets
3:16,Tari Eason misses tip shot,109,105,Rockets
3:14,Paul Reed defensive rebound,109,105,Pistons
3:11,Alperen Sengun personal foul,109,105,Rockets
3:01,Ausar Thompson makes layup (Cade Cunningham assists),111,105,Pistons
2:40,Jabari Smith Jr. makes 24-foot three point jumper (Tari Eason assists),111,108,Rockets
2:24,Ausar Thompson misses layup,111,108,Pistons
2:23,Jabari Smith Jr. defensive rebound,111,108,Rockets
2:19,Tobias Harris personal foul,111,108,Pistons
2:19,Kevin Durant makes free throw 1 of 2,111,109,Rockets
2:19,Kevin Durant makes free throw 2 of 2,111,110,Rockets
1:55,Paul Reed makes driving layup (Ausar Thompson assists),113,110,Pistons
1:40,Duncan Robinson blocks Jabari Smith Jr. 's 8-foot driving layup,113,110,Rockets
1:38,Cade Cunningham defensive rebound,113,110,Pistons
1:37,Cade Cunningham bad pass (Kevin Durant steals),113,110,Pistons
1:32,Paul Reed shooting foul,113,110,Pistons
1:32,Alperen Sengun makes free throw 1 of 2,113,111,Rockets
1:32,Alperen Sengun misses free throw 2 of 2,113,111,Rockets
1:32,Paul Reed defensive rebound,113,111,Pistons
1:10,Cade Cunningham misses 26-foot three point step back jumpshot,113,111,Pistons
1:07,Jabari Smith Jr. defensive rebound,113,111,Rockets
56.4,Jabari Smith Jr. misses 26-foot three point jumper,113,111,Rockets
53.9,Pistons defensive team rebound,113,111,Pistons
53.9,(00:53.9) [Pistons] COACH'S CHALLENGE (CALL OVERTURNED) [Pistons] retain their timeout,113,111,Pistons
34.7,Ausar Thompson misses 26-foot three point jumper,113,111,Pistons
32.7,Jabari Smith Jr. defensive rebound,113,111,Rockets
16.4,Paul Reed blocks Alperen Sengun 's 8-foot driving layup,113,111,Rockets
15.7,Cade Cunningham defensive rebound,113,111,Pistons
12.9,Kevin Durant personal take foul,113,111,Rockets
12.9,Pistons Full timeout,113,111,Pistons
12.9,Josh Okogie enters the game for Alperen Sengun,113,111,Rockets
12.9,Chaz Lanier enters the game for Paul Reed,113,111,Pistons
5.5,Amen Thompson personal take foul,113,111,Rockets
5.5,Rockets Full timeout,113,111,Rockets
5.5,Reed Sheppard enters the game for Tari Eason,113,111,Rockets
5.5,Kevin Durant enters the game for Steven Adams,113,111,Rockets
5.5,Steven Adams enters the game for Kevin Durant,113,111,Rockets
5.5,Alperen Sengun enters the game for Josh Okogie,113,111,Rockets
5.5,Paul Reed enters the game for Duncan Robinson,113,111,Pistons
5.5,Javonte Green enters the game for Chaz Lanier,113,111,Pistons
5.1,Cade Cunningham makes free throw 1 of 2,114,111,Pistons
5.1,Cade Cunningham makes free throw 2 of 2,115,111,Pistons
2.4,Amen Thompson misses 28-foot three point jumper,115,111,Rockets
2.4,Rockets offensive team rebound,115,111,Rockets
0.0,End of the 4th Quarter,115,111,Unknown
0.0,End of Game,115,111,Unknown
,[ QUARTER 4 ENDED ],,,
12:00,Jalen Duren vs. Steven Adams (Duncan Robinson gains possession),0,0,Pistons
11:41,Cade Cunningham bad pass (Alperen Sengun steals),0,0,Pistons
11:24,Kevin Durant makes 8-foot two point shot,0,2,Rockets
11:24,Ausar Thompson shooting foul,0,2,Pistons
11:24,Kevin Durant makes free throw 1 of 1,0,3,Rockets
11:08,Ausar Thompson misses alley oop dunk shot,0,3,Pistons
11:06,Steven Adams defensive rebound,0,3,Rockets
10:51,Alperen Sengun misses layup,0,3,Rockets
10:50,Alperen Sengun offensive rebound,0,3,Rockets
10:47,Alperen Sengun misses tip shot,0,3,Rockets
10:47,Tobias Harris defensive rebound,0,3,Pistons
10:39,Tobias Harris bad pass (Kevin Durant steals),0,3,Pistons
10:33,Ausar Thompson shooting foul,0,3,Pistons
10:33,Amen Thompson misses free throw 1 of 2,0,3,Rockets
10:33,Rockets offensive team rebound,0,3,Rockets
10:33,Ronald Holland II enters the game for Ausar Thompson,0,3,Pistons
10:33,Amen Thompson makes free throw 2 of 2,0,4,Rockets
10:24,Cade Cunningham makes 26-foot three point jumper (Ronald Holland II assists),3,4,Pistons
10:07,Ronald Holland II personal foul,3,4,Pistons
9:55,Jalen Duren blocks Alperen Sengun 's 5-foot driving floating jump shot,3,4,Rockets
9:53,Tobias Harris defensive rebound,3,4,Pistons
9:52,Kevin Durant blocks Ronald Holland II 's 3-foot two point shot,3,4,Pistons
9:51,Pistons offensive team rebound,3,4,Pistons
9:44,Ronald Holland II misses 22-foot three point jumper,3,4,Pistons
9:42,Jalen Duren offensive rebound,3,4,Pistons
9:39,Cade Cunningham misses 27-foot three point jumper,3,4,Pistons
9:37,Kevin Durant defensive rebound,3,4,Rockets
9:24,Steven Adams makes 2-foot dunk (Alperen Sengun assists),3,6,Rockets
9:12,Tobias Harris misses two point shot,3,6,Pistons
9:11,Jalen Duren offensive rebound,3,6,Pistons
9:11,Jalen Duren makes tip shot,5,6,Pistons
8:54,Alperen Sengun misses 27-foot three point jumper,5,6,Rockets
8:52,Ronald Holland II defensive rebound,5,6,Pistons
8:48,Alperen Sengun shooting foul,5,6,Rockets
8:48,Ronald Holland II misses free throw 1 of 2,5,6,Pistons
8:48,Pistons offensive team rebound,5,6,Pistons
8:48,Ronald Holland II makes free throw 2 of 2,6,6,Pistons
8:27,Cade Cunningham shooting foul,6,6,Pistons
8:27,Alperen Sengun makes free throw 1 of 2,6,7,Rockets
8:27,Alperen Sengun makes free throw 2 of 2,6,8,Rockets
8:11,Cade Cunningham bad pass (Steven Adams steals),6,8,Pistons
8:05,Duncan Robinson personal foul,6,8,Pistons
8:05,Jabari Smith Jr. makes free throw 1 of 2,6,9,Rockets
8:05,Jabari Smith Jr. makes free throw 2 of 2,6,10,Rockets
7:46,Tobias Harris makes 25-foot three point jumper (Ronald Holland II assists),9,10,Pistons
7:29,Amen Thompson misses driving layup,9,10,Rockets
7:28,Steven Adams offensive rebound,9,10,Rockets
7:27,Ronald Holland II shooting foul,9,10,Pistons
7:27,Steven Adams makes free throw 1 of 2,9,11,Rockets
7:27,Isaiah Stewart enters the game for Tobias Harris,9,11,Pistons
7:27,Steven Adams misses free throw 2 of 2,9,11,Rockets
7:27,Alperen Sengun offensive rebound,9,11,Rockets
7:18,Duncan Robinson blocks Kevin Durant 's 10-foot two point shot,9,11,Rockets
7:16,Ronald Holland II defensive rebound,9,11,Pistons
7:13,Jabari Smith Jr. shooting foul,9,11,Rockets
7:13,Ronald Holland II makes free throw 1 of 2,10,11,Pistons
7:13,Reed Sheppard enters the game for Jabari Smith Jr.,10,11,Rockets
7:13,Ronald Holland II makes free throw 2 of 2,11,11,Pistons
7:04,Ronald Holland II vs. Amen Thompson (Ronald Holland II gains possession),11,11,Pistons
7:04,Amen Thompson lost ball turnover (Ronald Holland II steals),11,11,Rockets
6:54,Duncan Robinson misses 25-foot three point jumper,11,11,Pistons
6:52,Ronald Holland II offensive rebound,11,11,Pistons
6:44,Isaiah Stewart misses 23-foot three point jumper,11,11,Pistons
6:42,Duncan Robinson offensive rebound,11,11,Pistons
6:38,Ronald Holland II makes 24-foot three point jumper (Duncan Robinson assists),14,11,Pistons
6:24,Alperen Sengun misses driving layup,14,11,Rockets
6:21,Kevin Durant offensive rebound,14,11,Rockets
6:20,Kevin Durant makes 25-foot three point jumper,14,14,Rockets
6:03,Isaiah Stewart makes 26-foot three point jumper (Cade Cunningham assists),17,14,Pistons
5:48,Isaiah Stewart personal foul,17,14,Pistons
5:48,Rockets Full timeout,17,14,Rockets
5:48,Alperen Sengun makes free throw 1 of 2,17,15,Rockets
5:48,Alperen Sengun misses free throw 2 of 2,17,15,Rockets
5:47,Pistons defensive team rebound,17,15,Pistons
5:47,Steven Adams personal foul,17,15,Rockets
5:47,Tari Eason enters the game for Alperen Sengun,17,15,Rockets
5:36,Cade Cunningham misses driving layup,17,15,Pistons
5:35,Jalen Duren offensive rebound,17,15,Pistons
5:35,Jalen Duren makes dunk,19,15,Pistons
5:20,Steven Adams lost ball turnover (Jalen Duren steals),19,15,Rockets
5:10,Duncan Robinson makes 26-foot three point shot (Cade Cunningham assists),20,15,Pistons
4:55,Reed Sheppard misses two point shot,20,15,Rockets
4:55,Steven Adams offensive rebound,20,15,Rockets
4:50,Kevin Durant misses 12-foot pullup jump shot,20,15,Rockets
4:46,Jalen Duren defensive rebound,20,15,Pistons
4:37,Ronald Holland II lost ball turnover (Reed Sheppard steals),20,15,Pistons
4:33,Isaiah Stewart blocks Amen Thompson's dunk,20,15,Rockets
4:31,Ronald Holland II defensive rebound,20,15,Pistons
4:20,Ronald Holland II misses 26-foot three point jumper,20,15,Pistons
4:20,Reed Sheppard defensive rebound,20,15,Rockets
4:15,Kevin Durant misses 4-foot two point shot,20,15,Rockets
4:14,Amen Thompson offensive rebound,20,15,Rockets
4:14,Ronald Holland II shooting foul,20,15,Pistons
4:14,Amen Thompson makes free throw 1 of 2,20,16,Rockets
4:14,Clint Capela enters the game for Steven Adams,20,16,Rockets
4:14,Tobias Harris enters the game for Jalen Duren,20,16,Pistons
4:14,Chaz Lanier enters the game for Ronald Holland II,20,16,Pistons
4:14,Amen Thompson misses free throw 2 of 2,20,16,Rockets
4:14,Tobias Harris defensive rebound,20,16,Pistons
3:50,Tobias Harris misses 22-foot three point jumper,20,16,Pistons
3:49,Duncan Robinson offensive rebound,20,16,Pistons
3:44,Duncan Robinson makes 23-foot three point jumper (Chaz Lanier assists),23,16,Pistons
3:42,Rockets Full timeout,23,16,Rockets
3:42,Javonte Green enters the game for Duncan Robinson,23,16,Pistons
3:29,Tari Eason misses 23-foot three point jumper,23,16,Rockets
3:28,Clint Capela offensive rebound,25,16,Rockets
3:22,Kevin Durant misses 20-foot jumper,25,16,Rockets
3:21,Tari Eason offensive rebound,25,16,Rockets
3:16,Kevin Durant makes 6-foot two point shot (Tari Eason assists),25,18,Rockets
3:16,Cade Cunningham shooting foul,25,18,Pistons
3:16,Kevin Durant makes free throw 1 of 1,25,19,Rockets
3:03,Amen Thompson personal foul,25,19,Rockets
3:03,Alperen Sengun enters the game for Amen Thompson,25,19,Rockets
3:03,Jabari Smith Jr. enters the game for Kevin Durant,25,19,Rockets
3:03,Ausar Thompson enters the game for Cade Cunningham,25,19,Pistons
2:49,Tobias Harris misses 9-foot two point shot,25,19,Pistons
2:48,Clint Capela defensive rebound,25,19,Rockets
2:42,Jabari Smith Jr. makes 26-foot running pullup jump shot,25,22,Rockets
2:31,Chaz Lanier misses 25-foot three point jumper,25,22,Pistons
2:28,Reed Sheppard defensive rebound,25,22,Rockets
2:18,Reed Sheppard misses driving floating jump shot,25,22,Rockets
2:17,Clint Capela offensive rebound,25,22,Rockets
2:17,Clint Capela makes dunk,25,24,Rockets
2:03,Ausar Thompson makes 7-foot pullup jump shot,27,24,Pistons
1:55,Alperen Sengun makes 13-foot step back jumpshot,27,26,Rockets
1:42,Ausar Thompson misses two point shot,27,26,Pistons
1:40,Clint Capela defensive rebound,27,26,Rockets
1:23,Isaiah Stewart blocks Tari Eason 's 2-foot driving layup,27,26,Rockets
1:22,Tari Eason offensive rebound,27,26,Rockets
1:20,Tari Eason makes two point shot,27,28,Rockets
58.0,Isaiah Stewart misses 27-foot three point step back jumpshot,27,28,Pistons
57.0,Tari Eason defensive rebound,27,28,Rockets
49.0,Reed Sheppard makes 26-foot three point shot,27,31,Rockets
35.5,Ausar Thompson makes 2-foot two point shot,29,31,Pistons
28.2,Alperen Sengun loose ball foul,29,31,Rockets
28.2,(00:28.2) [Pistons] REF-INITIATED REVIEW (CALL STANDS),29,31,Unknown
28.2,Double technical foul: Jabari Smith Jr. and Ausar Thompson,29,31,Rockets
28.2,Ausar Thompson misses free throw 1 of 2,29,31,Pistons
28.2,Pistons offensive team rebound,29,31,Pistons
28.2,Kevin Durant enters the game for Clint Capela,29,31,Rockets
28.2,Ausar Thompson misses free throw 2 of 2,29,31,Pistons
28.2,Pistons offensive team rebound,29,31,Pistons
28.2,Alperen Sengun lost ball turnover,29,31,Rockets
27.7,Jabari Smith Jr. loose ball foul,29,31,Rockets
27.7,Isaiah Stewart makes free throw 1 of 2,30,31,Pistons
27.7,Cade Cunningham enters the game for Ausar Thompson,30,31,Pistons
27.7,Isaiah Stewart misses free throw 2 of 2,30,31,Pistons
27.7,Tari Eason defensive rebound,30,31,Rockets
11.8,Tobias Harris blocks Jabari Smith Jr. 's 11-foot step back jumpshot,30,31,Rockets
10.8,Tobias Harris defensive rebound,30,31,Pistons
5.0,Tari Eason shooting foul,30,31,Rockets
5.0,Javonte Green misses free throw 1 of 3,30,31,Pistons
5.0,Pistons offensive team rebound,30,31,Pistons
5.0,Javonte Green makes free throw 2 of 3,31,31,Pistons
5.0,Amen Thompson enters the game for Reed Sheppard,31,31,Rockets
5.0,Steven Adams enters the game for Tari Eason,31,31,Rockets
5.0,Jalen Duren enters the game for Cade Cunningham,31,31,Pistons
5.0,Javonte Green makes free throw 3 of 3,32,31,Pistons
5.0,Ausar Thompson enters the game for Chaz Lanier,32,31,Pistons
1.2,Alperen Sengun makes 17-foot pullup jump shot,32,33,Rockets
0.0,(00:00) [Pistons] REF-INITIATED REVIEW (REPLAY SUPPORTS CALL),32,33,Unknown
0.0,End of the 1st Quarter,32,33,Unknown
,[ QUARTER 5 ENDED ],,,
